date,amount,category,description
14-01-2022,120.0,Income,Freelance Work
15-01-2022,50.0,Expense,Groceries
16-01-2022,200.0,Income,Contract Work
17-01-2022,30.0,Expense,Utilities
18-01-2022,300.0,Income,Investment Return
19-01-2022,75.0,Expense,Medical Bills
20-01-2022,250.0,Income,Side Business
21-01-2022,40.0,Expense,Books
22-01-2022,500.0,Income,Consulting Fee
23-01-2022,60.0,Expense,Transport
24-01-2022,150.0,Income,Gift
25-01-2022,70.0,Expense,Entertainment
26-01-2022,400.0,Income,Freelance Project
27-01-2022,90.0,Expense,Shopping
28-01-2022,350.0,Income,Contract Work
29-01-2022,55.0,Expense,Medical Bills
30-01-2022,600.0,Income,Investment Income
31-01-2022,85.0,Expense,Groceries
01-02-2022,450.0,Income,Freelance Work
02-02-2022,100.0,Expense,Utilities
03-02-2022,200.0,Income,Side Business
04-02-2022,65.0,Expense,Books
05-02-2022,550.0,Income,Consulting Fee
06-02-2022,90.0,Expense,Transport
07-02-2022,300.0,Income,Freelance Project
08-02-2022,75.0,Expense,Entertainment
09-02-2022,700.0,Income,Investment Return
10-02-2022,110.0,Expense,Medical Bills
11-02-2022,250.0,Income,Side Business
12-02-2022,80.0,Expense,Groceries
13-02-2022,500.0,Income,Freelance Work
14-02-2022,95.0,Expense,Utilities
15-02-2022,350.0,Income,Contract Work
16-02-2022,70.0,Expense,Books
17-02-2022,600.0,Income,Investment Income
18-02-2022,85.0,Expense,Transport
19-02-2022,400.0,Income,Freelance Project
20-02-2022,65.0,Expense,Entertainment
21-02-2022,550.0,Income,Side Business
22-02-2022,75.0,Expense,Medical Bills
23-02-2022,300.0,Income,Freelance Work
24-02-2022,90.0,Expense,Groceries
25-02-2022,700.0,Income,Investment Return
26-02-2022,100.0,Expense,Utilities
27-02-2022,250.0,Income,Consulting Fee
28-02-2022,80.0,Expense,Books
01-03-2022,500.0,Income,Freelance Project
02-03-2022,60.0,Expense,Transport
03-03-2022,350.0,Income,Side Business
04-03-2022,95.0,Expense,Medical Bills
05-03-2022,600.0,Income,Investment Income
06-03-2022,75.0,Expense,Groceries
07-03-2022,400.0,Income,Freelance Work
08-03-2022,80.0,Expense,Utilities
09-03-2022,300.0,Income,Contract Work
10-03-2022,90.0,Expense,Books
11-03-2022,700.0,Income,Freelance Project
12-03-2022,65.0,Expense,Transport
13-03-2022,250.0,Income,Consulting Fee
14-03-2022,85.0,Expense,Medical Bills
15-03-2022,500.0,Income,Investment Return
16-03-2022,70.0,Expense,Groceries
17-03-2022,350.0,Income,Side Business
18-03-2022,95.0,Expense,Utilities
19-03-2022,600.0,Income,Freelance Work
20-03-2022,80.0,Expense,Books
21-03-2022,400.0,Income,Contract Work
22-03-2022,100.0,Expense,Transport
23-03-2022,700.0,Income,Investment Income
24-03-2022,90.0,Expense,Medical Bills
25-03-2022,250.0,Income,Side Business
26-03-2022,85.0,Expense,Groceries
27-03-2022,500.0,Income,Freelance Project
28-03-2022,75.0,Expense,Utilities
29-03-2022,350.0,Income,Consulting Fee
30-03-2022,80.0,Expense,Books
31-03-2022,600.0,Income,Freelance Work
01-04-2022,90.0,Expense,Transport
02-04-2022,400.0,Income,Contract Work
03-04-2022,95.0,Expense,Medical Bills
04-04-2022,700.0,Income,Investment Income
05-04-2022,100.0,Expense,Groceries
06-04-2022,250.0,Income,Side Business
07-04-2022,85.0,Expense,Utilities
08-04-2022,500.0,Income,Freelance Project
09-04-2022,70.0,Expense,Books
10-04-2022,350.0,Income,Consulting Fee
11-04-2022,60.0,Expense,Transport
12-04-2022,600.0,Income,Freelance Work
13-04-2022,95.0,Expense,Medical Bills
14-04-2022,700.0,Income,Investment Income
15-04-2022,75.0,Expense,Groceries
16-04-2022,400.0,Income,Contract Work
17-04-2022,80.0,Expense,Utilities
18-04-2022,500.0,Income,Freelance Project
19-04-2022,90.0,Expense,Books
20-04-2022,350.0,Income,Side Business
21-04-2022,60.0,Expense,Transport
22-04-2022,600.0,Income,Investment Income
23-04-2022,95.0,Expense,Medical Bills
